date,var,type,number
2016/10/30,产品,产品类型03,155
2016/10/31,产品,产品类型03,223
2016/11/1,产品,产品类型03,134
2016/11/2,产品,产品类型03,176
2016/11/3,产品,产品类型03,175
2016/11/4,产品,产品类型03,194
2016/11/5,产品,产品类型03,123
2016/11/6,产品,产品类型03,130
2016/11/7,产品,产品类型03,127
2016/11/8,产品,产品类型03,157
2016/11/9,产品,产品类型03,149
2016/11/10,产品,产品类型03,170
2016/11/11,产品,产品类型03,164
2016/11/12,产品,产品类型03,135
2016/11/13,产品,产品类型03,104
2016/11/14,产品,产品类型03,106
2016/11/15,产品,产品类型03,139
2016/11/16,产品,产品类型03,159
2016/11/17,产品,产品类型03,149
2016/11/18,产品,产品类型03,152
2016/11/19,产品,产品类型03,109
2016/11/20,产品,产品类型03,104
2016/11/21,产品,产品类型03,117
2016/11/22,产品,产品类型03,142
2016/11/23,产品,产品类型03,186
2016/11/24,产品,产品类型03,152
2016/11/25,产品,产品类型03,161
2016/11/26,产品,产品类型03,125
2016/11/27,产品,产品类型03,99
2016/11/28,产品,产品类型03,134
2016/11/29,产品,产品类型03,159
2016/11/30,产品,产品类型03,227
2016/10/2,产品,产品类型04,6
2016/10/3,产品,产品类型04,7
2016/10/4,产品,产品类型04,11
2016/10/5,产品,产品类型04,6
2016/10/6,产品,产品类型04,7
2016/10/7,产品,产品类型04,0
2016/10/8,产品,产品类型04,2
2016/10/9,产品,产品类型04,3
2016/10/10,产品,产品类型04,0
2016/10/11,产品,产品类型04,2
2016/10/12,产品,产品类型04,0
2016/10/13,产品,产品类型04,0
2016/10/14,产品,产品类型04,6
2016/10/15,产品,产品类型04,7
2016/10/16,产品,产品类型04,7
2016/10/17,产品,产品类型04,6
2016/10/18,产品,产品类型04,6
2016/10/19,产品,产品类型04,4
2016/10/20,产品,产品类型04,2
2016/10/21,产品,产品类型04,7
2016/10/22,产品,产品类型04,7
2016/10/23,产品,产品类型04,4
2016/10/24,产品,产品类型04,2
2016/10/25,产品,产品类型04,1
2016/10/26,产品,产品类型04,4
2016/10/27,产品,产品类型04,0
2016/10/28,产品,产品类型04,3
2016/10/29,产品,产品类型04,0
2016/10/30,产品,产品类型04,22
2016/10/31,产品,产品类型04,11
2016/11/1,产品,产品类型04,3
2016/11/2,产品,产品类型04,2
2016/11/3,产品,产品类型04,0
2016/11/4,产品,产品类型04,0
2016/11/5,产品,产品类型04,1
2016/11/6,产品,产品类型04,0
2016/11/7,产品,产品类型04,0
2016/11/8,产品,产品类型04,0
2016/11/9,产品,产品类型04,0
