2016-09-01	404339	46281
2016-09-02	429111	51723
2016-09-03	404909	43132
2016-09-04	366575	40640
2016-09-05	381300	49170
2016-09-06	385743	51498
2016-09-07	365872	59617
2016-09-08	390856	66806
2016-09-09	427422	73106
2016-09-10	399757	62485
2016-09-11	365022	56765
2016-09-12	369990	64500
2016-09-13	382992	65742
2016-09-14	417184	71321
2016-09-15	347826	48697
2016-09-16	322839	45721
2016-09-17	332881	50659
2016-09-18	346502	58386
2016-09-19	352874	61370
2016-09-20	362199	61861
2016-09-21	360505	61947
2016-09-22	366735	63322
2016-09-23	397082	69706
2016-09-24	379382	59633
2016-09-25	353756	55701
2016-09-26	358741	61489
2016-09-27	366859	63818
2016-09-28	375052	60311
2016-09-29	386043	61163
2016-09-30	406069	64585
2016-10-01	321200	47150
2016-10-02	301552	44946
2016-10-03	286226	42690
2016-10-04	287205	41702
2016-10-05	294980	43592
2016-10-06	315582	46445
2016-10-07	322429	48028
2016-10-08	340520	52268
2016-10-09	348441	52503
2016-10-10	356874	56333
2016-10-11	359190	56554
2016-10-12	365892	59487
2016-10-13	363536	60390
2016-10-14	391852	65423
2016-10-15	382318	57012
2016-10-16	340211	53014
2016-10-17	341725	62423
2016-10-18	345180	63961
2016-10-19	353867	65082
2016-10-20	357377	65811
2016-10-21	357012	64399
2016-10-22	355584	55262
2016-10-23	322644	51084
2016-10-24	322635	58146
2016-10-25	329874	59974
2016-10-26	334383	62763
2016-10-27	338257	64893
2016-10-28	355147	68275
2016-10-29	341959	56946
2016-10-30	311439	51633
2016-10-31	320059	60945
2016-11-01	330249	61315
2016-11-02	337261	62496
2016-11-03	346524	63955
2016-11-04	370245	74374
2016-11-05	366794	63542
2016-11-06	341600	58210
2016-11-07	346986	68334
2016-11-08	300130	60584
2016-11-09	367201	68250
2016-11-10	385212	72157
2016-11-11	403654	83327
2016-11-12	405459	65578
2016-11-13	377102	57536
2016-11-14	380779	67561
2016-11-15	389074	74614
2016-11-16	384519	79129
2016-11-17	387627	80612
2016-11-18	428964	84114
2016-11-19	423746	67926
2016-11-20	394676	61477
2016-11-21	385144	73733
2016-11-22	383249	78537
2016-11-23	390194	78309
2016-11-24	396268	77323
2016-11-25	423774	83514
2016-11-26	410802	69468
2016-11-27	378733	63225
2016-11-28	374701	73197
2016-11-29	386107	75740
2016-11-30	336926	82292
2016-12-01	397467	75455
2016-12-02	424855	79289
2016-12-03	405669	63354
2016-12-04	366224	57485
2016-12-05	368961	69636
2016-12-06	379006	71187
2016-12-07	382539	73410
2016-12-08	385961	75739
2016-12-09	407777	81211
2016-12-10	397535	64445
2016-12-11	362414	58073
2016-12-12	362880	72734
2016-12-13	367544	76955
2016-12-14	365416	76497
2016-12-15	364852	78147
2016-12-16	383558	72623
2016-12-17	373996	61911
2016-12-18	346525	56045
2016-12-19	332616	66776
2016-12-20	338265	69019
2016-12-21	326150	75491
2016-12-22	335301	72961
2016-12-23	355087	77633
2016-12-24	359441	63794
2016-12-25	322823	57158
2016-12-26	309249	68022
2016-12-27	312779	68894
2016-12-28	316258	70105
2016-12-29	328785	69135
2016-12-30	348638	74549
2016-12-31	325558	56531
2017-01-01	277882	47158
2017-01-02	276479	47283
2017-01-03	299892	61567
2017-01-04	314037	64390
2017-01-05	307838	68575
2017-01-06	307443	73015
2017-01-07	285870	59453
2017-01-08	265442	54164
2017-01-09	257902	66822
2017-01-10	259994	68407
2017-01-11	260677	66105
2017-01-12	265896	66601
2017-01-13	257737	72815
2017-01-14	241217	62291
2017-01-15	221777	56250
2017-01-16	217400	68514
2017-01-17	216410	69385
2017-01-18	210678	69042
2017-01-19	207102	67084
2017-01-20	194160	65828
2017-01-21	177049	52680
2017-01-22	166553	52839
2017-01-23	154658	56958
2017-01-24	142087	54577
2017-01-25	123325	47522
2017-01-26	89859	34806
2017-01-27	44856	17738
2017-01-28	42711	15895
2017-01-29	57325	20199
2017-01-30	64735	22350
2017-01-31	72279	24149
2017-02-01	79510	26666
2017-02-02	91215	30209
2017-02-03	106493	37069
2017-02-04	127053	39250
2017-02-05	130768	37591
2017-02-06	143224	47135
2017-02-07	152182	49508
2017-02-08	159058	52768
2017-02-09	161987	53866
2017-02-10	166452	56082
2017-02-11	144821	39800
2017-02-12	150335	40752
2017-02-13	158104	54638
2017-02-14	158347	58672
2017-02-15	141192	61171
2017-02-16	147908	61710
2017-02-17	157536	65103
2017-02-18	149557	50935
2017-02-19	136174	47509
2017-02-20	145154	59284
2017-02-21	148587	63566
2017-02-22	146940	66235
2017-02-23	153715	64202
2017-02-24	156422	65977
2017-02-25	145879	51474
2017-02-26	134368	47657
2017-02-27	141877	58211
2017-02-28	148494	61080
