2017-01-26	20181	6032	34300	5325
2017-01-27	8437	3152	21042	2478
2017-01-28	7394	2973	18613	2124
2017-01-29	9824	3477	23094	3006
2017-01-30	11403	3816	24404	3451
2017-01-31	12711	4057	25724	4111
2017-02-01	14247	4532	28920	4775
2017-02-02	16791	5249	31494	5558
2017-02-03	23063	6409	35631	6905
2017-02-04	26686	7750	42893	8575
2017-02-05	25380	7938	45345	8774
2017-02-06	34659	9565	49304	10720
2017-02-07	37499	10247	52869	11701
2017-02-08	40269	10698	57383	12669
2017-02-09	42246	11013	57534	12901
2017-02-10	41640	11418	61856	13644
2017-02-11	29911	9349	61351	10496
2017-02-12	30552	9318	57930	11053
2017-02-13	41975	11620	56287	13422
2017-02-14	44816	12152	55371	13985
2017-02-15	46016	11886	35964	14396
2017-02-16	47201	12710	37792	14980
2017-02-17	47216	13600	41122	15671
2017-02-18	38106	12184	36025	14140
2017-02-19	35347	11019	34064	12379
2017-02-20	45893	12698	39179	14365
2017-02-21	46901	13225	40618	15223
2017-02-22	48573	13326	41453	15364
2017-02-23	48814	13515	41525	15758
2017-02-24	47994	13615	41818	15828
2017-02-25	38980	11449	36621	13692
2017-02-26	36151	10638	33820	12303
2017-02-27	45176	12383	37454	14153
2017-02-28	48074	13189	39711	14840
